state|date|summary|link_text|link|||
Alabama|8/13/2024|The secretary of state's office instructed local election officials to inactivate 3,251 possible noncitizen registration records. The office identified these records after cross-referencing the voter list with noncitizen identification numbers from the U.S. Department of Homeland Security. The secretary acknowledged that it was possible some of these individuals had become naturalized citizens. |"inactivate 3,251 possible noncitizen||cross-referencing the voter list"|"https://www.sos.alabama.gov/newsroom/secretary-state-wes-allen-implements-process-remove-noncitizens-registered-vote-alabama||https://apnews.com/article/immigration-voting-registration-access-025be9793aff9e0a0d0cc8aa85e52d47"|||
Alabama|9/11/2024|A noncitizen pleaded guilty to assuming the identity of a US citizen to obtain a passport, register to vote, and vote in multiple elections.|pleaded guilty|https://www.al.com/news/2024/09/woman-illegally-in-us-pleads-guilty-to-using-stolen-id-to-vote-in-multiple-elections-in-alabama.html|||
Alabama|10/16/2024|Update to the 8/13/2024 entry: A federal judge blocked the inactivation of 3,251 possible noncitizen registration records on the grounds that federal law prohibits systematic list maintenance within 90 days of a federal election. |blocked the inactivation|https://www.npr.org/2024/10/16/nx-s1-5154148/alabama-noncitizen-voter-purge-lawsuit|||https://www.npr.org/2024/10/16/nx-s1-5154148/alabama-noncitizen-voter-purge-lawsuit
Alabama|1/15/2025|Update to the 9/11/2024 entry: The U.S. Department of Justice sentenced an individual for voting as a noncitizen in multiple elections. |sentenced an individual |https://www.justice.gov/usao-ndal/pr/undocumented-individual-sentenced-five-years-prison-voting-fraud-and-passport-fraud |||
Alabama|1/6/2026|The secretary of state's office identified and directed the removal of 186 possible noncitizens on Alabama's voter list who did not provide documentary proof of citizenship. Of these individuals, 25 allegedly voted. The secretary's office used the SAVE database to identify these individuals but did not provide further information on methodology or timeframe. |"identified and directed the removal||did not provide further information"|"https://www.sos.alabama.gov/newsroom/secretary-state-wes-allen-directs-immediate-removal-186-noncitizens-illegally-registered||https://statescoop.com/alabama-secretary-state-save-noncitizen-voters/ "|||
Alabama|3/6/2026|The U.S. Department of Justice charged an individual with allegedly registering to vote and voting as a noncitizen in the 2022 and 2024 general elections. |charged an individual|https://www.justice.gov/usao-ndal/pr/non-citizen-charged-fraudulently-voting-numerous-elections-0|||
Alaska|10/7/2024|State court records indicate one confirmed case of noncitizen voting since 2011. The individual was born in America Samoa and is a US national, but not a US citizen. The Alaska division of elections identified the individual after she won a local school board seat in 2023.|one confirmed case|https://alaskabeacon.com/2024/10/07/alaska-records-show-no-evidence-of-widespread-noncitizen-voting-or-registration/|||
Alaska|4/7/2025|The state charged 10 individuals born in American Samoa with perjury and voter misconduct for voting or attempting to vote. Individuals born in American Samoa are US nationals, but are not US citizens and are therefore not eligible to vote.|"charged 10 individuals||are not US citizens"|"https://npr.brightspotcdn.com/d9/1c/94fb27324dbfb40a6b6d15a701b5/state-of-alaska-charges-10-for-voter-fraud-in-whittier.pdf||https://alaskapublic.org/news/politics/2025-04-08/10-u-s-nationals-in-whittier-charged-with-illegal-voting"|||
Alaska|9/5/2025|The Alaska division of elections identified 70 possible noncitizens who have allegedly voted or attempted to vote since 2015. Additionally, the state's inactive voter list included 541 individuals who were flagged as possible noncitizens.|allegedly voted or attempted to vote|https://alaskabeacon.com/2025/09/05/report-lists-70-possible-noncitizen-alaskans-who-attempted-to-vote-in-the-past-decade/|||
Arizona|10/3/2024|Arizona has required documentary proof of US citizenship to register to vote since 2004. However, some registration records do not have confirmed documentary proof of citizenship due to administrative and system issues. The issues impact voters who obtained a driver's license before 1996 and registered to vote after 2004. These individuals are not confirmed or suspected noncitizens. Rather, these 218,000 voters were marked as having provided proof of US citizenship when it is not confirmed whether they did or not. The uncertainty is due to the way the motor vehicle division categorized driver's licenses. |confirmed documentary proof of citizenship|https://www.votebeat.org/arizona/2024/10/03/citizenship-proof-error-federal-only-voter-registration-drivers-license-records/|||
